,do_nothing,harvest_minerals,build_spawning_pool,train_zergling,train_queen,train_overlord,do_injection,attack
"(1, 11, 0, 6, 1, 0, 0, 0, 43, True, True, True, True, 1, 11, 11, 7, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 7, 1, 0, 0, 0, 51, True, True, True, True, 1, 11, 11, 7, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 7, 1, 0, 0, 0, 51, True, True, True, True, 1, 11, 11, 8, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 0, 0, 0, 59, True, True, True, True, 1, 11, 11, 8, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 0, 0, 59, True, True, True, True, 1, 11, 11, 8, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 0, 0, 59, True, True, True, True, 1, 11, 11, 8, 1, 1, 2, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 0, 0, 59, True, True, True, True, 1, 11, 11, 9, 1, 1, 2, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 0, 0, 59, True, True, True, True, 1, 11, 11, 9, 1, 1, 4, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 0, 0, 59, True, True, True, True, 1, 11, 11, 9, 1, 1, 6, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 0, 0, 57, True, True, True, True, 1, 11, 11, 9, 1, 1, 6, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 9, 1, 1, 0, 0, 65, True, True, True, True, 1, 11, 11, 9, 1, 1, 6, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 10, 1, 1, 0, 0, 73, True, True, True, True, 1, 11, 11, 9, 1, 1, 6, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 10, 1, 1, 0, 0, 73, True, True, True, True, 1, 11, 11, 10, 1, 1, 6, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 0, 0, 81, True, True, True, True, 1, 11, 11, 10, 1, 1, 6, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 0, 0, 81, True, True, True, True, 1, 11, 11, 10, 1, 1, 8, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 0, 0, 81, True, True, True, True, 1, 11, 11, 11, 1, 1, 8, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 0, 0, 80, True, True, True, True, 1, 11, 11, 11, 1, 1, 8, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 0, 1, 78, True, True, True, True, 1, 11, 11, 11, 1, 1, 8, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 0, 1, 86, True, True, True, True, 1, 11, 11, 12, 1, 1, 8, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 0, 1, 86, True, False, True, True, 1, 11, 11, 12, 1, 1, 8, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 0, 0, 2, 1, 86, True, False, True, True, 1, 11, 11, 12, 1, 1, 7, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 0, 0, 2, 1, 86, True, False, True, True, 1, 11, 11, 12, 1, 1, 6, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 0, 0, 2, 1, 94, True, True, True, True, 1, 11, 11, 12, 1, 1, 6, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 0, 0, 2, 1, 94, True, True, True, True, 1, 11, 11, 12, 1, 1, 4, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 14, 0, 0, 2, 1, 102, True, True, True, True, 1, 11, 11, 12, 1, 1, 4, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 14, 0, 0, 2, 1, 102, True, True, True, True, 1, 11, 11, 12, 1, 1, 6, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 15, 0, 0, 2, 1, 110, True, True, True, True, 1, 11, 11, 12, 1, 1, 6, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 15, 0, 0, 2, 1, 110, True, True, True, True, 1, 11, 11, 12, 1, 1, 8, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 15, 0, 0, 2, 2, 110, True, True, True, True, 1, 11, 11, 12, 1, 1, 8, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 15, 0, 0, 2, 2, 110, True, True, True, True, 1, 11, 11, 12, 1, 1, 10, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 15, 0, 0, 0, 2, 111, True, True, True, True, 1, 11, 11, 12, 1, 1, 9, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 16, 0, 0, 0, 2, 119, True, False, True, False, 1, 11, 11, 12, 1, 1, 11, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10, 0, 16, 1, 0, 0, 2, 120, True, False, True, True, 1, 11, 11, 12, 1, 1, 13, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10, 0, 16, 1, 0, 0, 2, 120, True, True, True, True, 1, 11, 11, 12, 1, 1, 13, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10, 0, 16, 1, 0, 0, 2, 120, True, True, True, True, 1, 11, 11, 12, 1, 1, 15, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10, 0, 17, 1, 0, 0, 2, 128, True, True, True, True, 1, 11, 11, 12, 1, 1, 15, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10, 0, 17, 1, 0, 0, 2, 128, True, True, True, True, 1, 11, 11, 12, 1, 1, 14, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10, 0, 17, 1, 0, 0, 2, 128, True, True, True, True, 1, 11, 11, 12, 1, 1, 13, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10, 0, 17, 1, 0, 0, 1, 130, True, True, True, True, 1, 11, 11, 12, 1, 1, 14, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10, 0, 17, 1, 0, 0, 1, 130, True, True, True, True, 1, 11, 11, 12, 1, 1, 13, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10, 0, 17, 1, 0, 0, 0, 132, True, True, True, True, 1, 11, 11, 12, 1, 1, 12, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 0, 17, 1, 0, 0, 0, 133, True, True, True, True, 1, 11, 11, 12, 1, 1, 12, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7, 0, 17, 1, 0, 0, 0, 135, True, True, True, True, 1, 11, 11, 12, 1, 1, 14, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6, 0, 17, 1, 0, 0, 0, 136, True, True, True, True, 1, 11, 11, 12, 1, 1, 14, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6, 0, 18, 0, 0, 0, 0, 144, True, True, True, True, 1, 11, 11, 12, 1, 1, 14, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 5, 0, 18, 0, 0, 0, 0, 145, True, True, True, True, 1, 11, 11, 12, 1, 1, 16, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4, 0, 18, 0, 0, 0, 0, 146, True, True, True, True, 1, 11, 11, 12, 1, 1, 16, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1, 0, 19, 0, 0, 0, 0, 157, True, True, True, True, 1, 11, 11, 12, 1, 1, 16, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0, 0, 19, 0, 0, 0, 0, 158, True, True, True, True, 1, 11, 11, 12, 1, 1, 16, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0, 0, 19, 0, 0, 0, 0, 158, True, True, True, True, 1, 11, 11, 12, 1, 1, 18, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0, 0, 19, 0, 0, 0, 0, 158, True, True, True, True, 1, 11, 11, 12, 1, 1, 20, 0)",0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0
"(0, 0, 0, 19, 0, 0, 0, 0, 152, True, True, True, True, 0, 0, 0, 0, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 1, 1, 0, 0, 0, 3, False, False, True, False, 1, 12, 12, 1, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 1, 1, 0, 0, 0, 3, True, False, True, False, 1, 12, 12, 1, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 1, 1, 0, 0, 0, 3, True, False, True, True, 1, 12, 12, 1, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 1, 1, 0, 0, 0, 3, True, True, True, True, 1, 12, 12, 1, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 1, 1, 0, 0, 0, 3, True, True, True, True, 1, 12, 12, 2, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 1, 1, 0, 0, 0, 3, True, False, True, True, 1, 12, 12, 2, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 1, 1, 0, 0, 0, 3, False, False, True, False, 1, 12, 12, 3, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 1, 1, 0, 0, 0, 3, True, False, True, False, 1, 12, 12, 3, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 1, 1, 0, 0, 0, 3, True, False, True, True, 1, 12, 12, 3, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 2, 1, 0, 0, 0, 11, True, False, True, False, 1, 12, 12, 3, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 3, 1, 0, 0, 0, 19, True, False, True, True, 1, 12, 12, 3, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 3, 1, 0, 0, 0, 19, True, False, True, False, 1, 11, 11, 4, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 3, 1, 0, 0, 0, 19, False, False, False, False, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 4, 1, 1, 0, 0, 27, False, False, True, False, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 4, 1, 1, 0, 0, 27, True, False, True, False, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 4, 1, 1, 0, 0, 26, False, False, True, False, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 4, 1, 1, 0, 0, 26, True, False, True, False, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 5, 1, 1, 0, 0, 34, True, False, True, False, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 0, 0, 42, True, False, True, True, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 0, 0, 41, True, False, True, False, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 0, 0, 41, True, False, True, True, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 0, 0, 41, True, True, True, True, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 2, 0, 41, True, True, True, True, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 2, 0, 39, True, False, True, False, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 39, True, False, True, True, 1, 11, 11, 6, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 39, False, False, False, False, 1, 11, 11, 6, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 39, False, False, True, False, 1, 11, 11, 6, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 39, False, False, True, False, 1, 11, 11, 6, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 39, True, False, True, False, 1, 11, 11, 6, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 39, True, False, True, True, 1, 11, 11, 6, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 38, True, False, True, False, 1, 11, 11, 6, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 38, False, False, True, False, 1, 11, 11, 6, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 37, False, False, True, False, 1, 11, 11, 6, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 4, 0, 37, True, False, True, False, 1, 11, 11, 6, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 1, 6, 1, 35, False, False, True, False, 1, 11, 11, 6, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 7, 1, 1, 6, 1, 43, True, False, True, False, 1, 11, 11, 6, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 7, 1, 1, 8, 1, 43, True, False, True, False, 1, 11, 11, 6, 1, 1, 2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 7, 1, 1, 8, 1, 43, True, False, True, True, 1, 11, 11, 6, 1, 1, 2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 7, 1, 1, 8, 1, 43, False, False, True, False, 1, 11, 11, 7, 1, 1, 2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 7, 1, 1, 8, 1, 43, True, False, True, False, 1, 11, 11, 7, 1, 1, 2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 8, 1, 51, True, False, True, False, 1, 11, 11, 7, 1, 1, 2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 8, 1, 51, True, False, True, True, 1, 11, 11, 8, 1, 1, 2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 7, 1, 52, False, False, True, False, 1, 11, 11, 8, 1, 1, 2, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 5, 1, 53, False, False, True, False, 1, 11, 11, 8, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 5, 1, 53, True, False, True, False, 1, 11, 11, 8, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 8, 1, 1, 4, 1, 53, False, False, False, False, 1, 11, 11, 8, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 9, 1, 1, 4, 1, 61, False, False, True, False, 1, 11, 11, 8, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 9, 1, 1, 3, 1, 62, False, False, True, False, 1, 11, 11, 8, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 9, 1, 1, 3, 1, 62, True, False, True, False, 1, 11, 11, 8, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 9, 1, 1, 2, 2, 62, True, False, True, False, 1, 11, 11, 8, 1, 1, 0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 10, 1, 1, 2, 2, 69, True, False, True, False, 1, 11, 11, 8, 1, 1, 0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 10, 1, 1, 1, 2, 70, True, False, True, False, 1, 11, 11, 8, 1, 1, 0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 0, 2, 78, True, False, True, True, 1, 11, 11, 8, 1, 1, 0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 0, 2, 78, True, True, True, True, 1, 11, 11, 8, 1, 1, 0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 0, 2, 78, True, True, True, True, 1, 11, 11, 9, 1, 1, 0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 2, 2, 78, True, False, True, True, 1, 11, 11, 9, 1, 1, 0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 2, 2, 77, True, False, True, True, 1, 11, 11, 9, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 2, 2, 76, True, False, True, False, 1, 11, 11, 9, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 2, 2, 76, True, False, True, True, 1, 11, 11, 10, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 2, 2, 74, False, False, False, False, 1, 11, 11, 10, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 11, 1, 1, 2, 2, 74, False, False, True, False, 1, 11, 11, 10, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 2, 2, 82, True, False, True, False, 1, 11, 11, 10, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 4, 2, 82, False, False, False, False, 1, 11, 11, 10, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 6, 2, 82, False, False, True, False, 1, 11, 11, 10, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 6, 2, 82, False, False, True, False, 1, 11, 11, 10, 1, 1, 4, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 5, 2, 83, False, False, True, False, 1, 11, 11, 10, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 5, 2, 82, False, False, True, False, 1, 11, 11, 10, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 5, 2, 82, False, False, True, False, 1, 11, 11, 10, 1, 1, 4, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 5, 2, 82, True, False, True, False, 1, 11, 11, 10, 1, 1, 4, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 12, 1, 1, 5, 2, 82, True, False, True, False, 1, 11, 11, 11, 1, 1, 4, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 1, 1, 5, 2, 90, True, False, True, True, 1, 11, 11, 11, 1, 1, 4, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 1, 1, 5, 2, 90, False, False, True, False, 1, 11, 11, 11, 1, 1, 2, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 1, 1, 5, 3, 88, False, False, True, False, 1, 11, 11, 11, 1, 1, 2, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 1, 1, 7, 3, 88, True, False, True, False, 1, 11, 11, 11, 1, 1, 2, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 1, 1, 6, 3, 88, True, False, True, False, 1, 11, 11, 11, 1, 1, 2, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 1, 1, 5, 3, 89, True, False, True, False, 1, 11, 11, 11, 1, 1, 2, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 1, 1, 2, 3, 90, True, False, True, True, 1, 11, 11, 11, 1, 1, 2, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 1, 1, 2, 3, 90, False, False, True, False, 1, 11, 11, 12, 1, 1, 2, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 13, 1, 1, 2, 3, 90, False, False, True, False, 1, 11, 11, 12, 1, 1, 4, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
